,Recency,Frequency,Monetary
0,0.002680965147453083,0.9739583333333333,0.9999999999999999
1,0.010723860589812333,0.08333333333333333,0.4451017107414874
2,0.002680965147453083,0.6354166666666666,0.4284864388762512
3,0.010723860589812333,0.390625,0.3384385044034485
4,0.0,0.9999999999999999,0.27619515513181875
5,0.021447721179624665,0.20312499999999997,0.24164634577765645
6,0.029490616621983913,0.05208333333333333,0.18783619510388178
7,0.005361930294906166,0.09375,0.15728289795214698
8,0.02412868632707775,0.16145833333333331,0.1550809957489493
9,0.0,0.46875,0.15475570018198045
10,0.02412868632707775,0.18749999999999997,0.15418796332374343
11,0.02412868632707775,0.22916666666666666,0.15347288252160582
12,0.002680965147453083,0.14583333333333331,0.1310454259243626
13,0.002680965147453083,0.14062499999999997,0.12816915825038536
14,0.010723860589812333,0.09895833333333333,0.11740749825500639
15,0.005361930294906166,0.03645833333333333,0.11586672192183198
16,0.002680965147453083,0.4635416666666667,0.11586230872157989
17,0.03753351206434316,0.10416666666666667,0.1106503192238576
18,0.013404825737265416,0.13020833333333331,0.10853867408388014
19,0.010723860589812333,0.109375,0.10182192566149247
20,0.00804289544235925,0.15104166666666666,0.10176085266445543
21,0.01876675603217158,0.15624999999999997,0.09941658916280312
22,0.010723860589812333,0.06770833333333333,0.09602881734347839
23,0.01876675603217158,0.08333333333333333,0.09483241299126571
24,0.013404825737265416,0.09895833333333333,0.09401597094462844
25,0.002680965147453083,0.17187499999999997,0.09400230425997678
26,0.021447721179624665,0.078125,0.09343428267914285
27,0.058981233243967826,0.04687499999999999,0.09282141728929567
28,0.005361930294906166,0.11979166666666667,0.09276717763458447
29,0.002680965147453083,0.08333333333333333,0.09254765651236743
30,0.040214477211796246,0.057291666666666664,0.09105670663365213
31,0.010723860589812333,0.07291666666666667,0.09059901505912052
32,0.04289544235924933,0.13541666666666666,0.08919561737895483
33,0.045576407506702415,0.06249999999999999,0.08769213970597552
34,0.15281501340482573,0.03645833333333333,0.08703172564244452
35,0.002680965147453083,0.08854166666666667,0.08611947444194729
36,0.05093833780160858,0.08333333333333333,0.08583589073542566
37,0.0,0.09895833333333333,0.08563985922745364
